Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1981","1981","t","4487610","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1981","1981","1000 USD","864227","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1982","1982","t","362649","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1982","1982","1000 USD","78578","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1982","1982","t","3011817","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1982","1982","1000 USD","557362","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1983","1983","t","228347","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1983","1983","1000 USD","49738","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1983","1983","t","3403798","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1983","1983","1000 USD","563005","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1984","1984","t","208442","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1984","1984","1000 USD","42719","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1984","1984","t","3665941","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1984","1984","1000 USD","561702","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1985","1985","t","108712","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1985","1985","1000 USD","19686","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1985","1985","t","4721419","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1985","1985","1000 USD","611951","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1986","1986","t","143399","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1986","1986","1000 USD","31865","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1986","1986","t","3794495","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1986","1986","1000 USD","541329","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1987","1987","t","200321","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1987","1987","1000 USD","56195","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1987","1987","t","4188452","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1987","1987","1000 USD","552501","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1988","1988","t","119773","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1988","1988","1000 USD","33001","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1988","1988","t","4888188","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1988","1988","1000 USD","758257","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1989","1989","t","87309","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1989","1989","1000 USD","22782","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1989","1989","t","3954534","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1989","1989","1000 USD","681161","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1990","1990","t","142020","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1990","1990","1000 USD","43717","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1990","1990","t","3890930","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1990","1990","1000 USD","759640","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1991","1991","t","243598","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1991","1991","1000 USD","69731","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1991","1991","t","4508516","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1991","1991","1000 USD","708025","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1992","1992","t","165649","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1992","1992","1000 USD","47980","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1992","1992","t","5377972","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1992","1992","1000 USD","927359","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1993","1993","t","103089","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1993","1993","1000 USD","27395","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1993","1993","t","5182034","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1993","1993","1000 USD","767930","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1994","1994","t","65072","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1994","1994","1000 USD","12882","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1994","1994","t","3342313","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1994","1994","1000 USD","534010","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1995","1995","t","86536","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1995","1995","1000 USD","22774","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1995","1995","t","2920971","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1995","1995","1000 USD","571120","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1996","1996","t","79847","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1996","1996","1000 USD","23846","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1996","1996","t","3218283","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1996","1996","1000 USD","630112","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1997","1997","t","64042","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1997","1997","1000 USD","11861","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1997","1997","t","3563611","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1997","1997","1000 USD","566087","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1998","1998","t","20170","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1998","1998","1000 USD","3141","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1998","1998","t","4799336","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1998","1998","1000 USD","579528","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","1999","1999","t","25094","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","1999","1999","1000 USD","3591","A","Official figure",""
